Date.Rptd,DR.NO,DATE.OCC,TIME.OCC,AREA,AREA.NAME,RD,Crm.Cd,CrmCd.Desc,Status,Status.Desc,LOCATION,Cross.Street,Location.1
08/19/2014,140812560,08/21/2014,1500,8,West LA,823,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,15300         ANTIOCH                      ST,,"(34.047, -118.5259)"
08/18/2014,141218838,08/21/2014,1830,12,77th Street,1283,624,BATTERY - SIMPLE ASSAULT,IC,Invest Cont,10300      S  WESTERN                      AV,,"(33.9432, -118.309)"
08/18/2014,141612506,08/18/2014,20,16,Foothill,1663,420,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),IC,Invest Cont, 9000         RINCON                       AV,,"(34.2326, -118.4029)"
08/18/2014,141917489,08/19/2014,1800,19,Mission,1959,210,ROBBERY,IC,Invest Cont,              SHARP                        AV,   PIERCE                       ST,"(34.2609, -118.4402)"
08/18/2014,141917613,08/22/2014,1200,19,Mission,1985,310,BURGLARY,IC,Invest Cont, 8700         TOBIAS                       AV,,"(34.2279, -118.4516)"
08/16/2014,141013733,08/16/2014,1755,10,West Valley,1061,997,TRAFFIC DR #,IC,Invest Cont,              VENTURA                      BL,   OAKDALE                      AV,"(34.1724, -118.5649)"
08/16/2014,141218689,08/17/2014,2203,12,77th Street,1211,900,VIOLATION OF COURT ORDER,IC,Invest Cont, 5700         5TH                          AV,,"(33.9909, -118.3225)"
08/16/2014,141612517,08/18/2014,1300,16,Foothill,1675,310,BURGLARY,IC,Invest Cont,11200         TUXFORD                      ST,,"(34.2317, -118.3753)"
08/15/2014,140215888,08/15/2014,1410,2,Rampart,249,997,TRAFFIC DR #,IC,Invest Cont,              BIXEL                        ST,   WILSHIRE                     BL,"(34.0513, -118.264)"
08/15/2014,141115067,08/16/2014,2315,11,Northeast,1195,330,BURGLARY FROM VEHICLE,IC,Invest Cont, 1000         ELYSIAN PARK                 AV,,"(34.0725, -118.2459)"
02/20/2014,140405999,02/20/2014,1630,4,Hollenbeck,477,761,BRANDISH WEAPON,IC,Invest Cont,              EUCLID,   WHITTIER                     BL,"(34.0302, -118.2077)"
02/20/2014,140615577,07/17/2014,800,6,Hollywood,631,649,DOCUMENT FORGERY / STOLEN FELONY,IC,Invest Cont, 9300         SIERRA MAR                   DR,,"(34.0957, -118.3938)"
08/15/2014,141218532,08/16/2014,1340,12,77th Street,1259,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont,  800      E  77TH                         ST,,"(33.9694, -118.2608)"
08/15/2014,141612410,08/16/2014,1800,16,Foothill,1676,510,VEHICLE - STOLEN,IC,Invest Cont, 8500         SUNLAND                      BL,,"(34.2249, -118.3657)"
08/15/2014,141714160,08/25/2014,1201,17,Devonshire,1787,420,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),IC,Invest Cont,17900         SUNBURST                     ST,,"(34.2346, -118.5231)"
08/14/2014,140118961,08/14/2014,820,1,Central,132,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont,              1ST                          ST,   HILL                         ST,"(34.0577, -118.2519)"
08/14/2014,141421193,08/14/2014,730,14,Pacific,1494,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",IC,Invest Cont,  700         WORLD                        WY,,"(33.9432, -118.4013)"
08/14/2014,141713747,08/14/2014,530,17,Devonshire,1737,350,"THEFT, PERSON",IC,Invest Cont,16300         JONFIN                       ST,,"(34.2687, -118.4877)"
08/13/2014,141316342,08/14/2014,1556,13,Newton,1361,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",IC,Invest Cont, 4600      S  BROADWAY,,"(34.002, -118.2783)"
08/13/2014,142014815,08/14/2014,1640,20,Olympic,2033,420,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),IC,Invest Cont,  900      S  WESTERN                      AV,,"(34.0559, -118.3091)"
08/13/2014,142015003,08/18/2014,915,20,Olympic,2031,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont, 3800         WILSHIRE                     BL,,"(34.0617, -118.3091)"
08/11/2014,140812227,08/12/2014,2200,8,West LA,828,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont,10500         WILSHIRE                     BL,,"(34.0643, -118.4322)"
08/10/2014,142014643,08/11/2014,2230,20,Olympic,2004,626,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,IC,Invest Cont, 4600         OAKWOOD                      AV,,"(34.0776, -118.3069)"
08/09/2014,141013817,08/09/2014,1035,10,West Valley,1063,997,TRAFFIC DR #,IC,Invest Cont,              VENTURA                      BL,   RESEDA                       BL,"(34.1726, -118.5492)"
08/08/2014,141713480,08/08/2014,1300,17,Devonshire,1783,510,VEHICLE - STOLEN,IC,Invest Cont,19200         NORDHOFF                     ST,,"(34.2355, -118.5517)"
08/08/2014,142113845,08/08/2014,300,21,Topanga,2139,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont, 7500         WINNETKA                     AV,,"(34.2059, -118.571)"
08/07/2014,141218053,08/07/2014,1710,12,77th Street,1204,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont, 1400      W  45TH                         ST,,"(34.0028, -118.3002)"
08/06/2014,140317124,08/06/2014,1600,3,Southwest,331,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",IC,Invest Cont, 4700      W  ADAMS                        BL,,"(34.0325, -118.3506)"
08/05/2014,140215429,08/06/2014,1556,2,Rampart,231,930,"THREATS, VERBAL/TERRORIST",IC,Invest Cont,  100      N  OCCIDENTAL                   BL,,"(34.0707, -118.2795)"
08/05/2014,141420492,08/08/2014,1200,14,Pacific,1452,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),IC,Invest Cont,   00         REEF                         ST,,"(33.9698, -118.4584)"
08/04/2014,141917544,08/20/2014,1430,19,Mission,1984,440,THEFT PLAIN - PETTY ($950 & UNDER),IC,Invest Cont, 8300         WILLIS                       AV,,"(34.2215, -118.4553)"
12/31/2012,120418722,12/31/2012,800,4,Hollenbeck,453,510,VEHICLE - STOLEN,IC,Invest Cont, 1400    WARREN                       ST,,"(34.0515, -118.2201)"
08/03/2014,140215362,08/04/2014,2300,2,Rampart,235,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",IC,Invest Cont, 2200         COURT                        ST,,"(34.0697, -118.2697)"
02/08/2014,140906116,02/12/2014,1315,9,Van Nuys,981,997,TRAFFIC DR #,IC,Invest Cont,              DICKENS                      ST,   WILLIS                       AV,"(34.1528, -118.4665)"
02/10/2014,141206459,02/08/2014,2340,12,77th Street,1259,997,TRAFFIC DR #,UNK,Unknown,CENTRAL AVE,   75TH                         ST,"(33.9678, -118.2564)"
08/02/2014,141114450,08/03/2014,1200,11,Northeast,1124,420,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),IC,Invest Cont, 3200      N  SAN FERNANDO                 RD,,"(34.1165, -118.2475)"
02/07/2014,140905864,02/07/2014,715,9,Van Nuys,985,997,TRAFFIC DR #,IC,Invest Cont,              VAN NUYS                     BL,   MOORPARK                     ST,"(34.1472, -118.4496)"
